,Month,Product,Market_Sales
0,2020-02,MIONETTO PROSECCO,0.0
1,2020-12,MIONETTO PROSECCO,10437.62
2,2021-12,MIONETTO PROSECCO,6087.429999999999
3,2021-10,MIONETTO PROSECCO,4702.679999999999
4,2020-10,MIONETTO PROSECCO,99.96
5,2019-12,MIONETTO PROSECCO,0.0
6,2020-11,MIONETTO PROSECCO,196.89
7,2021-09,MIONETTO PROSECCO,4144.54
8,2021-06,MIONETTO PROSECCO,3521.7999999999997
9,2021-08,MIONETTO PROSECCO,3355.16
10,2021-02,MIONETTO PROSECCO,4567.400000000001
11,2021-11,MIONETTO PROSECCO,6297.449999999999
12,2021-04,MIONETTO PROSECCO,4153.85
13,2021-01,MIONETTO PROSECCO,5024.610000000001
14,2021-05,MIONETTO PROSECCO,4735.309999999999
15,2021-03,MIONETTO PROSECCO,3293.9599999999987
16,2021-07,MIONETTO PROSECCO,4446.889999999999
17,2020-05,MIONETTO PROSECCO,0.0
18,2020-07,MIONETTO PROSECCO,0.0
19,2020-03,MIONETTO PROSECCO,0.0
20,2020-06,MIONETTO PROSECCO,0.0
21,2019-05,MIONETTO PROSECCO,0.0
22,2019-03,MIONETTO PROSECCO,0.0
23,2019-06,MIONETTO PROSECCO,0.0
24,2020-09,MIONETTO PROSECCO,0.0
25,2020-04,MIONETTO PROSECCO,0.0
26,2019-01,MIONETTO PROSECCO,0.0
27,2019-09,MIONETTO PROSECCO,0.0
28,2019-11,MIONETTO PROSECCO,0.0
29,2020-01,MIONETTO PROSECCO,0.0
30,2019-08,MIONETTO PROSECCO,0.0
31,2019-10,MIONETTO PROSECCO,0.0
32,2020-08,MIONETTO PROSECCO,0.0
33,2019-02,MIONETTO PROSECCO,0.0
34,2019-04,MIONETTO PROSECCO,0.0
35,2019-07,MIONETTO PROSECCO,0.0
36,2020-02,DOMAINE CHANDON PROSECCO,0.0
37,2020-12,DOMAINE CHANDON PROSECCO,4546.139999999999
38,2021-12,DOMAINE CHANDON PROSECCO,3071.27
39,2021-10,DOMAINE CHANDON PROSECCO,1380.8000000000004
40,2020-10,DOMAINE CHANDON PROSECCO,0.0
41,2019-12,DOMAINE CHANDON PROSECCO,0.0
42,2020-11,DOMAINE CHANDON PROSECCO,0.0
43,2021-09,DOMAINE CHANDON PROSECCO,1225.8200000000002
44,2021-06,DOMAINE CHANDON PROSECCO,1368.2100000000003
45,2021-08,DOMAINE CHANDON PROSECCO,1131.8500000000001
46,2021-02,DOMAINE CHANDON PROSECCO,1350.0000000000002
