,Month,Neighborhood,Market_Sales
0,2021-05,0,795.5500000000003
1,2021-08,0,969.4600000000002
2,2021-01,0,758.5100000000001
3,2021-12,0,1962.6400000000003
4,2021-06,0,524.14
5,2021-09,0,622.58
6,2021-07,0,972.9900000000001
7,2021-04,0,882.3600000000001
8,2021-10,0,499.6200000000001
9,2020-12,0,1766.2800000000002
10,2021-11,0,784.9400000000002
11,2021-02,0,611.0500000000002
12,2021-03,0,686.2300000000001
13,2020-11,0,112.92999999999998
14,2020-09,0,90.93
15,2019-12,0,101.94
16,2019-04,0,0.0
17,2019-05,0,0.0
18,2019-11,0,0.0
19,2020-01,0,0.0
20,2020-07,0,13.99
21,2020-06,0,16.99
22,2019-06,0,33.98
23,2019-03,0,33.98
24,2019-09,0,0.0
25,2019-08,0,0.0
26,2019-10,0,0.0
27,2020-05,0,0.0
28,2019-07,0,0.0
29,2020-04,0,14.99
30,2020-08,0,94.92999999999999
31,2020-10,0,16.99
32,2019-02,0,0.0
33,2019-01,0,0.0
34,2020-03,0,31.979999999999997
35,2020-02,0,29.98
36,2021-05,1,6509.929999999999
37,2021-08,1,6317.859999999998
38,2021-01,1,5677.119999999997
39,2021-12,1,14934.569999999992
40,2021-06,1,4381.659999999998
41,2021-09,1,2658.4499999999994
42,2021-07,1,6769.709999999999
43,2021-04,1,4245.809999999999
44,2021-10,1,5616.999999999998
45,2020-12,1,16490.2
46,2021-11,1,5280.0099999999975
47,2021-02,1,5512.21
48,2021-03,1,6879.8899999999985
49,2020-11,1,849.78
50,2020-09,1,143.95
51,2019-12,1,0.0
52,2019-04,1,0.0
53,2019-05,1,0.0
54,2019-11,1,0.0
55,2020-01,1,0.0
56,2020-07,1,39.99
57,2020-06,1,0.0
58,2019-06,1,0.0
59,2019-03,1,0.0
60,2019-09,1,0.0
61,2019-08,1,0.0
62,2019-10,1,0.0
63,2020-05,1,0.0
64,2019-07,1,0.0
65,2020-04,1,0.0
66,2020-08,1,105.97
67,2020-10,1,325.90000000000003
68,2019-02,1,0.0
69,2019-01,1,0.0
70,2020-03,1,0.0
71,2020-02,1,0.0
