,RETAILER_ID,TXN_COUNT,ITEM_COUNT,DOLLAR_SALES,category_hh_idx,log_txn_count,log_itemcount,log_dollar_sales,log_cat_hh,norm_log_txn_count,norm_log_itemcount,norm_log_dollar_sales,norm_log_cat_hh,labels_from_model,tsne_1,tsne_2,tsne_3
0,597,246296,699656,6402477.06,0.351370017,12.41428934,13.45834406,15.67219551,-1.04591543,-0.025387592,-0.525861763,-0.638029307,-0.201704294,2,-2.806893826,-0.294662118,-0.834130704
1,1918,147625,877366,7911198.42,0.295037059,11.90243055,13.68467952,15.88378984,-1.220654306,-0.767988753,-0.263302371,-0.384374492,-0.928409089,2,-2.997576237,-1.502599239,1.379907966
2,860,51310,237286,5202337.04,0.468028523,10.84564094,12.37702144,15.46461851,-0.759226039,-2.301171744,-1.780245059,-0.886868243,0.990580793,1,-6.103869438,3.75062418,-0.737980843
3,526,146716,582230,10500000,0.362692513,11.89625402,13.27462084,16.16688582,-1.014199874,-0.776949618,-0.738989041,-0.045004994,-0.069805502,2,-3.261394262,0.652699947,0.88896209
4,612,192627,486271,4418190.48,0.459373974,12.16851096,13.09452136,15.30124078,-0.777890643,-0.381961162,-0.947912605,-1.082722032,0.912958354,1,-4.081999779,2.399134398,-1.912517667
5,2040,221499,1018600,10300000,0.383445764,12.30817335,13.83393969,16.14765445,-0.958557092,-0.179339929,-0.090153794,-0.068059146,0.161601942,2,-1.119711161,0.803166687,-0.38337931
6,186,499989,3155449,42300000,0.363472499,13.12234138,14.96464136,17.56029764,-1.01205164,1.001849358,1.221511432,1.625387755,-0.060871418,0,7.614815235,-1.889829636,0.498921275
7,224,753375,3803552,47800000,0.318966051,13.53231839,15.15144592,17.6825362,-1.142670605,1.596641148,1.438213205,1.771924758,-0.604090137,0,8.135274887,-2.98327136,1.403491735
8,3444,145674,592086,15200000,0.479116283,11.88912653,13.29140717,16.53680599,-0.735811949,-0.787290141,-0.71951613,0.398447514,1.087955409,3,-1.882973433,3.281518936,-0.839888871
9,90,114752,526169,2874518.95,0.952484712,11.65052856,13.17337773,14.8713959,-0.048681223,-1.133446412,-0.856435636,-1.59801102,3.945597658,3,-3.402437449,5.367780209,-2.815907955
10,1963,415812,1299542,13900000,0.591385367,12.93798851,14.07752245,16.4473994,-0.525287415,0.73439151,0.192413257,0.29126878,1.963485754,3,-0.192249581,3.980984449,-2.456864834
11,435,258387,1212462,8878294.42,0.346225897,12.46221374,14.00816356,15.99912003,-1.060663836,0.044140788,0.111953796,-0.246119088,-0.263040029,2,-0.706972063,-0.69267267,-0.253415942
12,670,400808,2031812,26800000,0.327590845,12.90123779,14.52443856,17.10391245,-1.115989873,0.681073814,0.710856221,1.078282792,-0.493130193,0,5.082027435,-1.818224907,0.406518668
13,362,342712,1920543,18300000,0.302575829,12.74464572,14.46811852,16.72241162,-1.195423358,0.453891139,0.645522411,0.620947636,-0.823478516,0,3.133415461,-2.082047224,1.098945022
14,604,475300,1474785,16700000,0.342071339,13.07170146,14.20402277,16.63091928,-1.07273597,0.928381323,0.339159369,0.511268545,-0.313245671,0,3.395018101,-0.163805246,0.575807989
15,145,292597,1045990,18300000,0.381743858,12.58655151,13.86047436,16.72241162,-0.963005424,0.224529164,-0.059372373,0.620947636,0.143102198,2,0.783658206,1.164410353,-0.355765849
16,355,188630,1099040,4678299.9,0.36085833,12.1475427,13.90994763,15.35844533,-1.019269836,-0.412381756,-0.00198114,-1.014146415,-0.090890483,2,-2.909338236,-1.172253609,-1.949638009
17,1970,182335,578094,6914441.15,0.395634839,12.11360093,13.26749176,15.7491227,-0.927263617,-0.461624239,-0.74725909,-0.545810614,0.291745383,1,-3.138291359,1.400738478,-1.271382332
18,541,180705,637857,7501422.09,0.455331582,12.10462115,13.3658694,15.83060317,-0.786729374,-0.474652052,-0.63313657,-0.448133543,0.876199803,3,-2.723677397,2.513226748,-1.630845428
19,861,156678,710493,7822677.46,0.556105189,11.96194802,13.47371437,15.87253744,-0.586797813,-0.681641224,-0.508031507,-0.397863626,1.707676044,3,-2.775398493,3.86759901,-1.933295369
20,422,297970,2002087,11600000,0.342930833,12.60474809,14.50970069,16.26651566,-1.070226506,0.250928627,0.693759624,0.07442916,-0.3028093,2,1.253651857,-1.929496646,-0.298996568
21,2127,110484,689887,5534101.11,0.349314089,11.61262599,13.4442831,15.52643971,-1.051783794,-1.188435187,-0.542173126,-0.812758295,-0.226109672,1,-5.072707176,0.925646663,0.230976805
22,856,453320,3616236,30300000,0.365068415,13.02435356,15.10094426,17.22665827,-1.007670504,0.859689312,1.379628987,1.225427901,-0.042651128,0,7.196476936,-1.7038064,0.270165592
23,569,212813,1006936,7325268.19,0.318509986,12.26816912,13.82242261,15.80684033,-1.14410145,-0.237377786,-0.103514128,-0.476619944,-0.61004074,2,-2.227312803,-1.490799785,0.232302934
24,407,315950,996178,11800000,0.346626518,12.66333925,13.81168124,16.28361009,-1.059507396,0.335932278,-0.115974615,0.094921607,-0.258230622,2,0.2155056,0.071148343,-0.044066831
25,2041,110351,501069,5456846.28,0.402454455,11.61142147,13.1244991,15.51238158,-0.910173343,-1.190182695,-0.913137073,-0.829610889,0.362820488,1,-5.10870266,2.162538052,-0.504261971
26,223,596361,3103399,40100000,0.319255401,13.29860147,14.94800852,17.50688689,-1.141763865,1.257566266,1.202216586,1.56136007,-0.600319182,0,7.371608257,-2.411264658,1.325660706
27,160,101022,432955,3009971.35,0.330696196,11.52309359,12.97838908,14.91744112,-1.106555161,-1.318328167,-1.082631324,-1.542812978,-0.453893069,1,-6.446949005,0.899610937,-0.386264741
28,184,314051,2839115,8175304.6,0.335297306,12.65731067,14.85900294,15.91662853,-1.092737659,0.327186056,1.098966077,-0.345008152,-0.396428782,2,1.41720736,-2.840957403,-0.362261176
29,606,231493,610351,4653377.9,0.38186589,12.35230491,13.32178948,15.35310394,-0.962685806,-0.115314169,-0.684271276,-1.02054956,0.14443143,2,-3.16104126,0.379176438,-1.70604372
30,828,871213,8811114,33400000,0.288949917,13.67764177,15.99152444,17.32406646,-1.241501903,1.807475296,2.41274239,1.342198785,-1.015110169,0,7.959643841,-3.747807264,2.424105167
31,605,158015,435900,3997666.23,0.425892865,11.97044524,12.98516814,15.20122131,-0.853567456,-0.669313514,-1.074767304,-1.202623266,0.598233296,1,-4.785411358,2.224751949,-1.603632808
32,132,305152,1294050,13400000,0.329263954,12.62856529,14.07328739,16.41076526,-1.110895559,0.285482459,0.187500396,0.247352553,-0.471943934,2,1.002289176,-0.623615146,0.414140582
33,270,427171,2335278,25500000,0.320203177,12.96493968,14.6636415,17.05418901,-1.138799557,0.773492074,0.872337942,1.018675385,-0.587991205,0,5.209806442,-2.075574398,0.722584844
34,1982,520333,1759658,16800000,0.565126757,13.16222427,14.38063003,16.63688944,-0.570705225,1.05971118,0.544031797,0.518425456,1.774601972,3,0.316207498,3.948284149,-2.383715153
35,139,434525,2765546,18800000,0.284730922,12.98200876,14.83274864,16.74936743,-1.256210677,0.798255775,1.068509898,0.653261693,-1.076281081,0,4.446355343,-3.154604673,1.794663787
36,719,616956,2837944,29600000,0.298590295,13.33255299,14.8585904,17.20328492,-1.208682897,1.306822895,1.098487515,1.19740842,-0.878622344,0,6.456084728,-2.895611525,1.558132291
